timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
17,2,1972000.0,127000.0,115903.1331918612,509.373722076416,32.7977991104126,29.937676046540744,20782.0,2,1255.0,1238.384338991451,5.232816696166992,0.31603431701660156,0.3117935436836274,0.796812749003984,0.8075037518759379
18,2,2103000.0,128000.0,116613.79391375868,543.2199411392212,33.06797409057617,30.121573240997062,22013.0,2,1220.0,1237.3118655932797,5.542337417602539,0.30711841583251953,0.3115208142558414,0.819672131147541,0.8082036775106082
19,2,2205000.0,128000.0,117245.58872489182,569.5567169189453,33.074195861816406,30.285407589061613,23306.0,2,1288.0,1240.1058317715797,5.867769241333008,0.32425975799560547,0.31222299393502584,0.7763975155279503,0.8063827895812962
20,2,2290000.0,105000.0,116601.82946062455,591.5082559585571,27.112171173095703,30.118588305286725,24595.0,2,1309.0,1243.704942012329,6.192285537719727,0.32971858978271484,0.3131369838967691,0.7639419404125286,0.8040492292182971
21,2,2325000.0,72000.0,114374.18839276796,600.5531053543091,18.592469215393066,29.542915590778,25859.0,2,1256.0,1244.3153609373448,6.510626792907715,0.3160696029663086,0.3132825811100319,0.7961783439490446,0.803654789929378
22,2,2423000.0,47000.0,111169.25126058416,625.8575477600098,12.14443302154541,28.715283463994986,27139.0,2,1281.0,1246.0505155614417,6.832965850830078,0.3225088119506836,0.313718974584663,0.78064012490242,0.8025356817491649
23,2,2474000.0,86000.0,110026.33729906457,639.0247621536255,22.204858779907227,28.41965070202569,28412.0,2,1262.0,1246.7708427422997,7.153569221496582,0.317840576171875,0.3139051186361133,0.7923930269413629,0.8020720133304354
24,2,2526000.0,51000.0,107462.42724350622,652.4691562652588,13.167214393615723,27.75713500797609,29712.0,2,1305.0,1249.2870106300234,7.480700492858887,0.32849788665771484,0.3145356936953822,0.7662835249042146,0.8004565736224967
25,2,2606000.0,64000.0,105653.15127799517,673.1277303695679,16.539533615112305,27.290163007607102,30986.0,2,1289.0,1250.9319857509734,7.801405906677246,0.32456016540527344,0.31495092324181134,0.7757951900698216,0.7994039735099338
26,2,2669000.0,68000.0,104148.34945248182,689.4020090103149,17.563434600830078,26.901435951145707,32273.0,2,1264.0,1251.4517540370696,8.12549877166748,0.3182973861694336,0.315084025736745,0.7911392405063291,0.7990719552504449
