timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
151,2,1.2341E7,77000.0,82289.14534829298,3205.4858236312866,19.98828411102295,21.3740617501117,244094.0,2,1662.0,1628.590989636471,59.72623920440674,0.4066314697265625,0.39849220243719347,0.601684717208183,0.6140277125217406
152,2,1.2419E7,75000.0,82240.73114680058,3225.742476463318,19.46882152557373,21.36140722345395,245750.0,2,1605.0,1628.4336995946232,60.13149070739746,0.3927640914916992,0.3984540109571323,0.6230529595015576,0.6140870213192815
153,2,1.249E7,76000.0,82199.55396613838,3244.1945476531982,19.75838565826416,21.350830272285485,247371.0,2,1654.0,1628.6030307847188,60.52809715270996,0.40470218658447266,0.39849539398862793,0.6045949214026602,0.6140231726808002
154,2,1.2568E7,76000.0,82158.9166087652,3264.4512271881104,19.73538303375244,21.34024120295754,248982.0,2,1623.0,1628.5661648594587,60.922264099121094,0.3971395492553711,0.3984864730184386,0.6161429451632778,0.6140370723508783
155,2,1.2645E7,77000.0,82125.32072571927,3284.4623699188232,20.002270698547363,21.33152807499019,250624.0,2,1609.0,1628.4382680541755,61.324028968811035,0.39365386962890625,0.3984548840719505,0.6215040397762586,0.6140852985449071
156,2,1.2722E7,81000.0,82118.03982970795,3304.448009490967,21.036641120910645,21.329620137813986,252300.0,2,1651.0,1628.584788029925,61.73417282104492,0.4039907455444336,0.39849083495952636,0.6056935190793459,0.6140300507225572
157,2,1.2808E7,73926.07392607394,82065.32569635958,3326.799825668335,19.198887355320462,21.31590917595851,253937.0,2,1669.0,1628.8455582511742,62.134714126586914,0.40841197967529297,0.39855484895268545,0.5991611743559018,0.6139317475093585
158,2,1.2901E7,93093.09309309309,82135.69411975115,3350.9574422836304,24.193131768548334,21.334268795843773,255550.0,2,1637.0,1628.8978356754537,62.5294075012207,0.4005270004272461,0.3985674922460653,0.6108735491753207,0.6139120441432293
159,2,1.2987E7,86000.0,82160.2203632948,3373.267614364624,22.31830883026123,21.340514369121028,257158.0,2,1609.0,1628.7710849513326,62.922813415527344,0.3937654495239258,0.3985369028692999,0.6215040397762586,0.6139598186874
160,2,1.3043E7,89000.0,82203.35776182848,3387.7943954467773,23.090733528137207,21.351552722020383,258168.0,2,1602.0,1628.6016305448652,63.16994285583496,0.39197731018066406,0.398495382255259,0.6242197253433208,0.614023700605924
161,2,1.313E7,54000.0,82026.59847829629,3410.382125854492,14.010462760925293,21.30554381014448,259812.0,2,1016.0,1624.748402354954,63.572211265563965,0.24856948852539062,0.39755235721041254,0.984251968503937,0.6154799097205285
162,2,1.3206E7,88000.0,82063.80248882025,3430.1312437057495,22.86714744567871,21.315269913082574,261460.0,2,1649.0,1624.899989999,63.97544193267822,0.40351104736328125,0.3975896027484218,0.6064281382656155,0.6154224913255218
163,2,1.3279E7,71000.0,81995.32056598869,3449.1142377853394,18.455510139465332,21.297568779287793,263079.0,2,1648.0,1625.0434825821199,64.37156867980957,0.4032573699951172,0.39762480977052767,0.6067961165048543,0.6153681490485692
164,2,1.3348E7,69000.0,81915.37789588947,3467.0287733078003,17.941344261169434,21.276922459093658,264740.0,2,1621.0,1625.0185203476885,64.77798175811768,0.3966341018676758,0.3976186936855881,0.6169031462060457,0.6153776018417564
165,2,1.3357E7,41000.0,81665.2196774233,3469.366536140442,10.632575035095215,21.211842503212573,266390.0,2,1661.0,1625.239287292004,65.18177223205566,0.4064168930053711,0.3976726756673764,0.6020469596628537,0.6152940110537284
166,2,1.3425E7,42000.0,81424.17870902662,3487.0369234085083,10.911121368408203,21.1492462080777,268060.0,2,1649.0,1625.3841838228118,65.59037971496582,0.40340137481689453,0.3977076101679955,0.6064281382656155,0.6152391600415702
167,2,1.3466E7,54000.0,81258.53175322244,3497.687324523926,14.02773380279541,21.106230996458315,269701.0,2,1668.0,1625.6424865441497,65.9919261932373,0.40821170806884766,0.39777127754120045,0.5995203836930456,0.6151414030312634
168,2,1.3531E7,47000.0,81052.84645588924,3514.5889196395874,12.21971321105957,21.052877103007393,271306.0,2,1640.0,1625.7289859263542,66.38468837738037,0.40126514434814453,0.39779232696046346,0.6097560975609756,0.6151086734977487
169,2,1.3604E7,67000.0,80968.97790615787,3533.553741455078,17.416091918945312,21.03117246828949,272910.0,2,1607.0,1625.6168255641257,66.77707004547119,0.3931875228881836,0.39776475064134137,0.6222775357809583,0.6151511132723281
170,2,1.3676E7,75000.0,80933.56589423226,3552.257264137268,19.479275703430176,21.021965567609254,274549.0,2,1589.0,1625.3988475092865,67.17814636230469,0.3888235092163086,0.3977115238969786,0.6293266205160478,0.6152336096044184
171,2,1.3754E7,75000.0,80898.57158022624,3572.523412704468,19.49978542327881,21.01298822567121,276181.0,2,1651.0,1625.5503479619372,67.57745838165283,0.4039793014526367,0.39774861484970586,0.6056935190793459,0.6151762701498406
172,2,1.3834E7,80000.0,80893.30315787005,3593.3083095550537,20.77156639099121,21.011572743344498,277835.0,2,1638.0,1625.6235881024095,67.98236083984375,0.4008064270019531,0.3977666036730789,0.6105006105006106,0.6151485542648283
173,2,1.3908E7,72000.0,80841.46469415592,3612.532964706421,18.711828231811523,20.998167687844123,279457.0,2,1658.0,1625.8129415617834,68.37904834747314,0.4056539535522461,0.397812732842353,0.6031363088057901,0.6150769097946674
